2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
0.937045	1.204303	3.967224	5.286198	
0.967055	1.221946	4.015118	5.462251	
0.958212	1.293580	3.875087	5.010974	
0.901710	1.208735	3.948769	5.255932	
0.968032	1.187369	4.034727	5.371724	
0.954869	1.216366	4.005471	5.325197	
0.869801	1.265661	3.929888	5.253227	
0.860311	1.192276	3.880552	5.071270	
0.892818	1.213822	3.972681	5.228881	
0.905498	1.197380	3.921714	5.151696	
0.917486	1.208986	3.959450	5.270507	
0.965958	1.273896	3.929271	5.173743	
0.984032	1.210051	3.967690	5.278041	
0.885406	1.208549	3.870167	5.071339	
0.885175	1.251585	3.785280	4.895973	
0.940445	1.157767	3.943335	5.180039	
0.952361	1.238221	3.857018	5.150778	
0.907145	1.239005	3.867954	5.084720	
0.925632	1.200565	3.911474	5.195257	
0.905107	1.224818	3.742506	4.934735	
0.913249	1.168969	3.924625	5.217741	
0.918292	1.167668	3.850930	5.108942	
0.919593	1.247481	3.921567	5.159829	
0.898427	1.122155	3.841716	5.029616	
0.925241	1.120664	3.862063	5.137136	
0.993945	1.202077	3.847751	5.127308	
0.945826	1.170471	3.820882	5.100349	
0.924256	1.135254	3.783328	5.002854	
0.869311	1.115775	3.700559	4.896608	
0.981100	1.191035	3.811492	5.054595	
0.898479	1.159458	3.864475	5.169381	
0.913878	1.100741	3.856533	5.102495	
0.902974	1.205519	3.707130	4.892450	
0.878103	1.198960	3.642081	4.790829	
0.922294	1.142648	3.877195	5.117334	
0.954613	1.149881	3.845124	5.114358	
0.881890	1.186197	3.745219	5.016451	
0.843493	1.143478	3.545968	4.754421	
0.864290	1.165473	3.680800	4.988437	
0.911856	1.134565	3.780240	5.096950	
0.861877	1.066476	3.777020	5.040835	
0.922479	1.148311	3.784478	5.145388	
0.933586	1.126170	3.718229	4.969652	
0.867716	1.129369	3.676774	4.996556	
0.873127	1.124143	3.821719	5.059862	
0.805307	1.143754	3.651469	4.837934	
0.827753	1.100349	3.719635	5.014409	
0.866006	1.155862	3.613122	4.816922	
0.777559	1.073696	3.484166	4.629373	
0.839963	1.111326	3.648323	4.886878	
0.901163	1.114005	3.513718	4.737833	
0.817301	1.093878	3.617223	4.763542	
0.902954	1.136201	3.774933	4.989972	
0.830725	1.146645	3.628088	4.715892	
0.856531	1.072508	3.767945	4.990616	
0.812263	1.091218	3.513674	4.695711	
0.795107	1.062407	3.650077	4.961961	
0.846364	1.133824	3.775875	5.003727	
0.824423	1.094075	3.615210	4.886348	
0.808932	1.088036	3.416287	4.576623	
0.766202	1.098423	3.569611	4.826225	
0.834882	1.094689	3.571429	4.823649	
0.894463	1.125346	3.494357	4.687927	
0.826549	1.061852	3.586655	4.723644	
0.845656	1.091537	3.517704	4.650095	
0.814543	1.080591	3.496331	4.542369	
0.861725	1.050017	3.616978	4.807850	
0.829513	1.075520	3.573602	4.743084	
0.866518	1.103956	3.622791	4.716848	
0.820133	1.115707	3.471238	4.668462	
0.827622	1.065949	3.507303	4.664692	
0.781847	1.044371	3.481672	4.692491	
0.835506	1.043619	3.537364	4.785842	
0.840384	1.093840	3.464590	4.626915	
0.831669	1.086748	3.439555	4.640891	
0.775990	1.059086	3.552710	4.847332	
0.825783	1.042525	3.507958	4.794862	
0.840471	1.045245	3.474330	4.723236	
0.796172	1.076581	3.502984	4.628201	
0.815118	0.981648	3.485204	4.693687	
0.833027	1.046264	3.423472	4.653410	
0.746453	1.086260	3.451267	4.552814	
0.779647	1.014031	3.446012	4.656472	
0.750577	1.048647	3.442755	4.631655	
0.764934	0.970981	3.409824	4.663540	
0.747556	1.124094	3.366274	4.587934	
0.815230	1.125288	3.275838	4.390540	
0.761582	0.964882	3.430824	4.605418	
0.801816	1.077223	3.416672	4.641619	
0.703224	1.014129	3.332619	4.475547	
0.756549	0.973007	3.404916	4.616624	
0.773250	1.046276	3.401566	4.573004	
0.811131	1.034521	3.399302	4.613513	
0.845304	0.997001	3.364008	4.581334	
0.813892	1.057352	3.396514	4.580628	
0.762850	1.056059	3.231429	4.333001	
0.750688	1.015015	3.315356	4.464496	
0.788022	1.039588	3.430675	4.625748	
0.755804	0.978767	3.331045	4.493995	
0.741078	1.024272	3.241868	4.442825	
0.781664	0.998771	3.284085	4.382201	
0.757571	1.008419	3.255803	4.419749	
0.766952	0.992679	3.306405	4.521964	
0.725220	0.924106	3.371330	4.638465	
0.784527	0.964227	3.387341	4.486925	
0.767166	1.028686	3.206453	4.343384	
0.737170	0.989652	3.302521	4.402833	
0.767353	0.997091	3.312689	4.490342	
0.718739	1.003549	3.336173	4.591400	
0.822539	1.019924	3.277415	4.426684	
0.759036	0.927194	3.370967	4.616424	
0.797626	1.035136	3.354915	4.576808	
0.674373	0.952047	3.303877	4.473924	
0.700000	0.976492	3.216514	4.463166	
0.718035	1.022663	3.193945	4.351855	
0.762223	0.931512	3.283330	4.471641	
0.786068	1.006786	3.323698	4.462781	
0.788090	0.964087	3.280653	4.486101	
0.734207	0.974086	3.306569	4.530264	
0.714118	0.986143	3.242488	4.503628	
0.721893	1.025086	3.226476	4.431216	
0.786911	0.940634	3.354973	4.584992	
0.725368	0.913726	3.241186	4.357692	
0.765842	1.011777	3.282812	4.582395	
0.807267	0.953837	3.308075	4.573712	
0.713187	0.970660	3.363325	4.496362	
0.639360	0.912472	3.155373	4.291507	
0.684645	0.953386	3.257232	4.604794	
0.785375	0.996055	3.282871	4.512837	
0.703416	0.884031	3.186565	4.297394	
0.734987	0.993928	3.213089	4.487556	
0.735496	0.961237	3.155629	4.310673	
0.710185	0.976075	3.086226	4.221736	
0.704600	0.871979	3.252635	4.453717	
0.698947	0.967725	3.108745	4.241772	
0.717641	0.928675	3.166998	4.311051	
0.710074	0.983555	3.224450	4.360054	
0.780674	0.969251	3.263793	4.425972	
0.716618	0.912731	3.178815	4.376213	
0.701344	0.933922	3.111432	4.237226	
0.707256	0.934952	3.094486	4.220678	
0.724652	0.939942	3.169843	4.385338	
0.679272	0.890570	3.165144	4.328616	
0.667683	0.899094	3.143831	4.322243	
0.690513	0.945450	3.267851	4.491212	
0.675984	0.927468	3.081277	4.178179	
0.658647	0.982603	3.045460	4.087896	
0.666882	0.969782	3.016749	4.155467	
0.683531	0.900362	3.050184	4.188558	
0.722717	0.972511	3.135910	4.330328	
0.685504	0.889023	3.066731	4.221975	
0.722375	0.939571	3.101402	4.188723	
0.715485	0.885280	3.208834	4.387433	
0.672281	0.873077	3.166069	4.331697	
0.717101	0.920816	3.224876	4.458630	
0.659322	0.898942	3.089882	4.297850	
0.687264	0.877856	3.067302	4.388361	
0.748195	0.937045	3.066589	4.225788	
0.722502	0.934874	2.928345	4.103295	
0.679368	0.954629	3.112338	4.278530	
0.622422	0.938153	2.967807	4.093367	
0.681699	0.908864	3.115217	4.342280	
0.606721	0.890527	2.885489	3.947754	
0.672591	0.881971	3.011337	4.133149	
0.719540	0.874901	3.162945	4.334843	
0.688439	0.917425	3.038338	4.172235	
0.661012	0.908280	2.980923	4.152022	
0.675798	0.929856	3.081790	4.272335	
0.718552	0.843725	3.040951	4.170755	
0.655339	0.885440	2.974468	4.121947	
0.659285	0.874264	3.020922	4.216211	
0.712384	0.889887	3.011608	4.213580	
0.664804	0.868058	3.071570	4.319773	
0.631360	0.886324	2.978847	4.129887	
0.694232	0.939791	3.097385	4.358026	
0.727822	0.904774	3.029724	4.143000	
0.694018	0.853236	3.085372	4.302847	
0.644521	0.828156	3.063616	4.207042	
0.676863	0.851348	3.031084	4.144384	
0.612339	0.905889	2.955402	4.156550	
0.651206	0.866222	3.008704	4.200393	
0.627036	0.945989	2.909993	4.050113	
0.662526	0.895221	2.941262	4.040317	
0.694841	0.906502	2.916353	4.092671	
0.639216	0.846808	2.818756	4.041521	
0.637487	0.884231	2.954044	4.048847	
0.654205	0.835105	3.001066	4.313738	
0.691085	0.872885	2.886319	4.125229	
0.648163	0.874581	3.066453	4.350289	
0.692381	0.839078	3.032661	4.281138	
0.695433	0.907068	2.879934	3.951024	
0.673499	0.886189	2.959502	4.193735	
0.703364	0.920706	2.936061	4.080672	
0.622137	0.848160	2.867986	3.964467	
0.722350	0.854707	2.936956	4.085525	
0.629864	0.828268	2.971935	4.162912	
0.686412	0.830092	2.887662	3.992130	
0.651116	0.848719	2.920210	4.099581	
0.654106	0.868622	2.933079	4.093392	
0.626688	0.835779	2.906156	3.994088	
0.650421	0.887153	2.872025	4.035533	
0.629570	0.849654	2.917064	3.939704	
