2d_loss   	3d_loss   	adv_loss   	temporal_loss   	
2.526232	3.269553	3.893791	16.474796	
3.114054	3.558611	3.753667	16.832726	
2.981691	3.623316	4.016469	17.472691	
2.679519	3.397928	3.611351	17.938599	
2.903145	3.239223	3.695249	17.586630	
3.434691	3.707664	3.775756	18.526958	
3.103265	3.570934	3.674925	17.157234	
3.262530	3.651090	3.803136	17.876266	
3.689248	4.133159	3.679124	17.591770	
3.582086	4.143958	3.623782	17.040091	
3.704966	3.829118	3.437413	15.539828	
3.883579	5.104960	3.483685	15.202646	
5.055777	5.642951	3.572492	14.428226	
4.994916	5.857199	3.841886	14.957519	
5.002800	5.513701	3.469959	13.759922	
5.209173	6.389160	3.169862	12.569323	
6.955843	8.342402	3.361196	13.208435	
7.973652	10.683235	3.546609	12.455847	
7.914376	9.724290	3.948324	12.558142	
10.169555	12.487146	4.097730	12.640326	
10.216973	11.047328	3.626663	11.137716	
12.546570	13.512427	4.275628	11.722417	
11.028926	11.902857	4.632775	12.330898	
13.940700	16.400692	4.770985	12.283279	
14.667108	14.536930	4.871526	11.731541	
15.788513	21.143602	5.389562	12.460419	
15.481711	17.703060	5.278466	11.607872	
17.534218	23.387285	5.097150	11.689690	
17.752398	19.539711	5.045194	10.810783	
17.435799	20.750542	5.178771	11.248150	
17.668652	21.594770	5.333844	11.128683	
17.578463	19.954130	5.442344	10.924492	
18.540541	20.681988	5.125873	10.625933	
17.444796	24.077799	4.994946	10.709665	
18.450079	21.724688	5.323888	11.671309	
17.172504	18.878834	4.728334	11.364687	
19.845034	19.691000	5.162191	12.138184	
15.202960	17.702822	4.595475	11.214615	
16.917685	19.401789	4.926755	11.706480	
19.659309	21.556366	4.448979	11.400468	
15.040261	17.533625	4.424361	11.894120	
13.477653	17.471279	4.046922	12.481272	
19.447613	20.498379	4.067199	12.054740	
14.414511	13.226503	4.352155	12.151487	
10.697740	14.065786	3.911406	11.993839	
11.605210	16.493811	4.120872	12.116522	
11.673938	14.770118	3.980217	11.719629	
13.417366	16.368242	4.020732	11.888802	
10.559549	13.591922	4.325002	10.834896	
12.316537	12.724824	4.561963	11.539982	
